"Date,Category,Amount,Type"
"2024-01-01,Utilities,40.77,Expense"
"2024-01-02,Salary,890.05,Income"
"2024-01-03,Transportation,94.55,Expense"
"2024-01-04,Transportation,9.01,Expense"
"2024-01-05,Investment,2846.38,Income"
"2024-01-06,Entertainment,40.76,Expense"
"2024-01-07,Utilities,89.23,Expense"
"2024-01-08,Transportation,82.97,Expense"
"2024-01-09,Entertainment,76.44,Expense"
"2024-01-10,Transportation,79.58,Expense"
"2024-01-11,Salary,616.13,Income"
"2024-01-12,Utilities,92.85,Expense"
"2024-01-13,Food,193.3,Expense"
"2024-01-14,Salary,539.92,Income"
"2024-01-15,Entertainment,90.83,Expense"
"2024-01-16,Utilities,167.47,Expense"
"2024-01-17,Food,55.46,Expense"
"2024-01-18,Housing,87.91,Expense"
"2024-01-19,Entertainment,41.05,Expense"
"2024-01-20,Investment,1624.39,Income"
"2024-01-21,Entertainment,121.59,Expense"
"2024-01-22,Investment,1926.11,Income"
"2024-01-23,Utilities,80.79,Expense"
"2024-01-24,Utilities,119.42,Expense"
"2024-01-25,Investment,1856.74,Income"
"2024-01-26,Utilities,19.54,Expense"
"2024-01-27,Investment,1487.2,Income"
"2024-01-28,Transportation,43.77,Expense"
"2024-01-29,Salary,2428.18,Income"
"2024-01-30,Housing,27.59,Expense"
"2024-01-31,Investment,1623.63,Income"
"2024-02-01,Utilities,147.27,Expense"
"2024-02-02,Transportation,114.44,Expense"
"2024-02-03,Transportation,153.35,Expense"
"2024-02-04,Transportation,106.93,Expense"
"2024-02-05,Housing,90.67,Expense"
"2024-02-06,Food,66.3,Expense"
"2024-02-07,Utilities,53.61,Expense"
"2024-02-08,Transportation,44.6,Expense"
"2024-02-09,Salary,1224.38,Income"
"2024-02-10,Housing,126.75,Expense"
"2024-02-11,Utilities,174.93,Expense"
"2024-02-12,Investment,1541.27,Income"
"2024-02-13,Investment,2518.6,Income"
"2024-02-14,Salary,2767.07,Income"
"2024-02-15,Transportation,88.29,Expense"
"2024-02-16,Salary,1261.95,Income"
"2024-02-17,Transportation,86.4,Expense"
"2024-02-18,Transportation,57.54,Expense"
"2024-02-19,Transportation,68.02,Expense"
"2024-02-20,Food,83.75,Expense"
"2024-02-21,Housing,192.68,Expense"
"2024-02-22,Housing,143.89,Expense"
"2024-02-23,Food,57.02,Expense"
"2024-02-24,Investment,628.7,Income"
"2024-02-25,Food,128.7,Expense"
"2024-02-26,Utilities,100.44,Expense"
"2024-02-27,Investment,1981.74,Income"
"2024-02-28,Transportation,52.22,Expense"
"2024-02-29,Salary,2080.76,Income"
"2024-03-01,Transportation,164.2,Expense"
"2024-03-02,Salary,1301.95,Income"
"2024-03-03,Utilities,172.38,Expense"
"2024-03-04,Entertainment,8.23,Expense"
"2024-03-05,Transportation,72.99,Expense"
"2024-03-06,Food,139.73,Expense"
"2024-03-07,Housing,168.35,Expense"
"2024-03-08,Food,27.13,Expense"
"2024-03-09,Investment,2239.46,Income"
